movie_id,movie_title,movietitle,title,original_title,genres,release_date,production_countries,runtime,original_language,spoken_languages,directors,actors,keywords
1,10 cloverfield lane,10 cloverfield lane,10 Cloverfield Lane,10 Cloverfield Lane,Thriller;Science Fiction;Drama;Horror,2016-03-10,United States of America,104,en,English,Dan Trachtenberg,John Goodman;Mary Elizabeth Winstead;John Gallagher Jr.;Douglas M. Griffin;Suzanne Cryer,kidnapping;paranoia;bunker;basement;survivalist;apocalypse;car accident;captive
2,10 things i hate about you,10 things i hate about you,10 Things I Hate About You,10 Things I Hate About You,Comedy;Romance;Drama,1999-03-30,United States of America,97,en,English;Français,Gil Junger,Heath Ledger;Julia Stiles;Joseph Gordon-Levitt;Larisa Oleynik;David Krumholtz,high school;deception;based on play or musical;coming of age;teen movie;shrew;valentine's day;shakespeare in modern dress;opposites attract;duringcreditsstinger;teenage romance;overprotective father
